pokedex_id,name,height,weight,base_experience,type_1,type_2,hp,attack,defense,special_attack,special_defense,speed
43,Oddish,5,54,64,grass,poison,45,50,55,75,65,30
44,Gloom,8,86,138,grass,poison,60,65,70,85,75,40
45,Vileplume,12,186,221,grass,poison,75,80,85,110,90,50
46,Paras,3,54,57,bug,grass,35,70,55,45,55,25
47,Parasect,10,295,142,bug,grass,60,95,80,60,80,30
48,Venonat,10,300,61,bug,poison,60,55,50,40,55,45
49,Venomoth,15,125,158,bug,poison,70,65,60,90,75,90
50,Diglett,2,8,53,ground,None,10,55,25,35,45,95
51,Dugtrio,7,333,149,ground,None,35,100,50,50,70,120
52,Meowth,4,42,58,normal,None,40,45,35,40,40,90
53,Persian,10,320,154,normal,None,65,70,60,65,65,115
54,Psyduck,8,196,64,water,None,50,52,48,65,50,55
55,Golduck,17,766,175,water,None,80,82,78,95,80,85
56,Mankey,5,280,61,fighting,None,40,80,35,35,45,70
57,Primeape,10,320,159,fighting,None,65,105,60,60,70,95
58,Growlithe,7,190,70,fire,None,55,70,45,70,50,60
59,Arcanine,19,1550,194,fire,None,90,110,80,100,80,95
60,Poliwag,6,124,60,water,None,40,50,40,40,40,90
61,Poliwhirl,10,200,135,water,None,65,65,65,50,50,90
62,Poliwrath,13,540,230,water,fighting,90,95,95,70,90,70
63,Abra,9,195,62,psychic,None,25,20,15,105,55,90
64,Kadabra,13,565,140,psychic,None,40,35,30,120,70,105
65,Alakazam,15,480,225,psychic,None,55,50,45,135,95,120
66,Machop,8,195,61,fighting,None,70,80,50,35,35,35
67,Machoke,15,705,142,fighting,None,80,100,70,50,60,45
68,Machamp,16,1300,227,fighting,None,90,130,80,65,85,55
69,Bellsprout,7,40,60,grass,poison,50,75,35,70,30,40
70,Weepinbell,10,64,137,grass,poison,65,90,50,85,45,55
71,Victreebel,17,155,221,grass,poison,80,105,65,100,70,70
72,Tentacool,9,455,67,water,poison,40,40,35,50,100,70
73,Tentacruel,16,550,180,water,poison,80,70,65,80,120,100
74,Geodude,4,200,60,rock,ground,40,80,100,30,30,20
75,Graveler,10,1050,137,rock,ground,55,95,115,45,45,35
76,Golem,14,3000,223,rock,ground,80,120,130,55,65,45
77,Ponyta,10,300,82,fire,None,50,85,55,65,65,90
78,Rapidash,17,950,175,fire,None,65,100,70,80,80,105
79,Slowpoke,12,360,63,water,psychic,90,65,65,40,40,15
80,Slowbro,16,785,172,water,psychic,95,75,110,100,80,30
81,Magnemite,3,60,65,electric,steel,25,35,70,95,55,45
82,Magneton,10,600,163,electric,steel,50,60,95,120,70,70
83,Farfetchd,8,150,132,normal,flying,52,90,55,58,62,60
84,Doduo,14,392,62,normal,flying,35,85,45,35,35,75
85,Dodrio,18,852,165,normal,flying,60,110,70,60,60,110
86,Seel,11,900,65,water,None,65,45,55,45,70,45
87,Dewgong,17,1200,166,water,ice,90,70,80,70,95,70
88,Grimer,9,300,65,poison,None,80,80,50,40,50,25
89,Muk,12,300,175,poison,None,105,105,75,65,100,50
90,Shellder,3,40,61,water,None,30,65,100,45,25,40
91,Cloyster,15,1325,184,water,ice,50,95,180,85,45,70
92,Gastly,13,1,62,ghost,poison,30,35,30,100,35,80
93,Haunter,16,1,142,ghost,poison,45,50,45,115,55,95
94,Gengar,15,405,225,ghost,poison,60,65,60,130,75,110
95,Onix,88,2100,77,rock,ground,35,45,160,30,45,70
96,Drowzee,10,324,66,psychic,None,60,48,45,43,90,42
97,Hypno,16,756,169,psychic,None,85,73,70,73,115,67
98,Krabby,4,65,65,water,None,30,105,90,25,25,50
99,Kingler,13,600,166,water,None,55,130,115,50,50,75
100,Voltorb,5,104,66,electric,None,40,30,50,55,55,100
101,Electrode,12,666,172,electric,None,60,50,70,80,80,150
102,Exeggcute,4,25,65,grass,psychic,60,40,80,60,45,40
103,Exeggutor,20,1200,186,grass,psychic,95,95,85,125,75,55
104,Cubone,4,65,64,ground,None,50,50,95,40,50,35
105,Marowak,10,450,149,ground,None,60,80,110,50,80,45
106,Hitmonlee,15,498,159,fighting,None,50,120,53,35,110,87
107,Hitmonchan,14,502,159,fighting,None,50,105,79,35,110,76
108,Lickitung,12,655,77,normal,None,90,55,75,60,75,30
109,Koffing,6,10,68,poison,None,40,65,95,60,45,35
110,Weezing,12,95,172,poison,None,65,90,120,85,70,60
111,Rhyhorn,10,1150,69,ground,rock,80,85,95,30,30,25
112,Rhydon,19,1200,170,ground,rock,105,130,120,45,45,40
113,Chansey,11,346,395,normal,None,250,5,5,35,105,50
114,Tangela,10,350,87,grass,None,65,55,115,100,40,60
115,Kangaskhan,22,800,172,normal,None,105,95,80,40,80,90
116,Horsea,4,80,59,water,None,30,40,70,70,25,60
117,Seadra,12,250,154,water,None,55,65,95,95,45,85
118,Goldeen,6,150,64,water,None,45,67,60,35,50,63
119,Seaking,13,390,158,water,None,80,92,65,65,80,68
120,Staryu,8,345,68,water,None,30,45,55,70,55,85
121,Starmie,11,800,182,water,psychic,60,75,85,100,85,115
122,Mr-mime,13,545,161,psychic,fairy,40,45,65,100,120,90
123,Scyther,15,560,100,bug,flying,70,110,80,55,80,105
124,Jynx,14,406,159,ice,psychic,65,50,35,115,95,95
125,Electabuzz,11,300,172,electric,None,65,83,57,95,85,105
126,Magmar,13,445,173,fire,None,65,95,57,100,85,93
127,Pinsir,15,550,175,bug,None,65,125,100,55,70,85
128,Tauros,14,884,172,normal,None,75,100,95,40,70,110
129,Magikarp,9,100,40,water,None,20,10,55,15,20,80
130,Gyarados,65,2350,189,water,flying,95,125,79,60,100,81
131,Lapras,25,2200,187,water,ice,130,85,80,85,95,60
132,Ditto,3,40,101,normal,None,48,48,48,48,48,48
133,Eevee,3,65,65,normal,None,55,55,50,45,65,55
134,Vaporeon,10,290,184,water,None,130,65,60,110,95,65
135,Jolteon,8,245,184,electric,None,65,65,60,110,95,130
136,Flareon,9,250,184,fire,None,65,130,60,95,110,65
137,Porygon,8,365,79,normal,None,65,60,70,85,75,40
138,Omanyte,4,75,71,rock,water,35,40,100,90,55,35
139,Omastar,10,350,173,rock,water,70,60,125,115,70,55
140,Kabuto,5,115,71,rock,water,30,80,90,55,45,55
141,Kabutops,13,405,173,rock,water,60,115,105,65,70,80
142,Aerodactyl,18,590,180,rock,flying,80,105,65,60,75,130
143,Snorlax,21,4600,189,normal,None,160,110,65,65,110,30
144,Articuno,17,554,261,ice,flying,90,85,100,95,125,85
145,Zapdos,16,526,261,electric,flying,90,90,85,125,90,100
146,Moltres,20,600,261,fire,flying,90,100,90,125,85,90
147,Dratini,18,33,60,dragon,None,41,64,45,50,50,50
148,Dragonair,40,165,147,dragon,None,61,84,65,70,70,70
149,Dragonite,22,2100,270,dragon,flying,91,134,95,100,100,80
150,Mewtwo,20,1220,306,psychic,None,106,110,90,154,90,130
151,Mew,4,40,270,psychic,None,100,100,100,100,100,100
152,Chikorita,9,64,64,grass,None,45,49,65,49,65,45
153,Bayleef,12,158,142,grass,None,60,62,80,63,80,60
154,Meganium,18,1005,236,grass,None,80,82,100,83,100,80
155,Cyndaquil,5,79,62,fire,None,39,52,43,60,50,65
156,Quilava,9,190,142,fire,None,58,64,58,80,65,80
157,Typhlosion,17,795,240,fire,None,78,84,78,109,85,100
158,Totodile,6,95,63,water,None,50,65,64,44,48,43
159,Croconaw,11,250,142,water,None,65,80,80,59,63,58
160,Feraligatr,23,888,239,water,None,85,105,100,79,83,78
161,Sentret,8,60,43,normal,None,35,46,34,35,45,20
162,Furret,18,325,145,normal,None,85,76,64,45,55,90
163,Hoothoot,7,212,52,normal,flying,60,30,30,36,56,50
164,Noctowl,16,408,158,normal,flying,100,50,50,86,96,70
165,Ledyba,10,108,53,bug,flying,40,20,30,40,80,55
166,Ledian,14,356,137,bug,flying,55,35,50,55,110,85
167,Spinarak,5,85,50,bug,poison,40,60,40,40,40,30
168,Ariados,11,335,140,bug,poison,70,90,70,60,70,40
169,Crobat,18,750,241,poison,flying,85,90,80,70,80,130
170,Chinchou,5,120,66,water,electric,75,38,38,56,56,67
171,Lanturn,12,225,161,water,electric,125,58,58,76,76,67
172,Pichu,3,20,41,electric,None,20,40,15,35,35,60
173,Cleffa,3,30,44,fairy,None,50,25,28,45,55,15
174,Igglybuff,3,10,42,normal,fairy,90,30,15,40,20,15
175,Togepi,3,15,49,fairy,None,35,20,65,40,65,20
176,Togetic,6,32,142,fairy,flying,55,40,85,80,105,40
177,Natu,2,20,64,psychic,flying,40,50,45,70,45,70
178,Xatu,15,150,165,psychic,flying,65,75,70,95,70,95
179,Mareep,6,78,56,electric,None,55,40,40,65,45,35
180,Flaaffy,8,133,128,electric,None,70,55,55,80,60,45
181,Ampharos,14,615,230,electric,None,90,75,85,115,90,55
182,Bellossom,4,58,221,grass,None,75,80,95,90,100,50
183,Marill,4,85,88,water,fairy,70,20,50,20,50,40
184,Azumarill,8,285,189,water,fairy,100,50,80,60,80,50
185,Sudowoodo,12,380,144,rock,None,70,100,115,30,65,30
186,Politoed,11,339,225,water,None,90,75,75,90,100,70
187,Hoppip,4,5,50,grass,flying,35,35,40,35,55,50
188,Skiploom,6,10,119,grass,flying,55,45,50,45,65,80
189,Jumpluff,8,30,207,grass,flying,75,55,70,55,95,110
190,Aipom,8,115,72,normal,None,55,70,55,40,55,85
191,Sunkern,3,18,36,grass,None,30,30,30,30,30,30
192,Sunflora,8,85,149,grass,None,75,75,55,105,85,30
193,Yanma,12,380,78,bug,flying,65,65,45,75,45,95
194,Wooper,4,85,42,water,ground,55,45,45,25,25,15
195,Quagsire,14,750,151,water,ground,95,85,85,65,65,35
196,Espeon,9,265,184,psychic,None,65,65,60,130,95,110
197,Umbreon,10,270,184,dark,None,95,65,110,60,130,65
198,Murkrow,5,21,81,dark,flying,60,85,42,85,42,91
199,Slowking,20,795,172,water,psychic,95,75,80,100,110,30
200,Misdreavus,7,10,87,ghost,None,60,60,60,85,85,85
201,Unown,5,50,118,psychic,None,48,72,48,72,48,48
202,Wobbuffet,13,285,142,psychic,None,190,33,58,33,58,33
203,Girafarig,15,415,159,normal,psychic,70,80,65,90,65,85
204,Pineco,6,72,58,bug,None,50,65,90,35,35,15
205,Forretress,12,1258,163,bug,steel,75,90,140,60,60,40
206,Dunsparce,15,140,145,normal,None,100,70,70,65,65,45
207,Gligar,11,648,86,ground,flying,65,75,105,35,65,85
208,Steelix,92,4000,179,steel,ground,75,85,200,55,65,30
209,Snubbull,6,78,60,fairy,None,60,80,50,40,40,30
210,Granbull,14,487,158,fairy,None,90,120,75,60,60,45
211,Qwilfish,5,39,88,water,poison,65,95,85,55,55,85
212,Scizor,18,1180,175,bug,steel,70,130,100,55,80,65
213,Shuckle,6,205,177,bug,rock,20,10,230,10,230,5
214,Heracross,15,540,175,bug,fighting,80,125,75,40,95,85
215,Sneasel,9,280,86,dark,ice,55,95,55,35,75,115
216,Teddiursa,6,88,66,normal,None,60,80,50,50,50,40
217,Ursaring,18,1258,175,normal,None,90,130,75,75,75,55
218,Slugma,7,350,50,fire,None,40,40,40,70,40,20
219,Magcargo,8,550,151,fire,rock,60,50,120,90,80,30
220,Swinub,4,65,50,ice,ground,50,50,40,30,30,50
221,Piloswine,11,558,158,ice,ground,100,100,80,60,60,50
222,Corsola,6,50,144,water,rock,65,55,95,65,95,35
223,Remoraid,6,120,60,water,None,35,65,35,65,35,65
224,Octillery,9,285,168,water,None,75,105,75,105,75,45
225,Delibird,9,160,116,ice,flying,45,55,45,65,45,75
226,Mantine,21,2200,170,water,flying,85,40,70,80,140,70
227,Skarmory,17,505,163,steel,flying,65,80,140,40,70,70
228,Houndour,6,108,66,dark,fire,45,60,30,80,50,65
229,Houndoom,14,350,175,dark,fire,75,90,50,110,80,95
230,Kingdra,18,1520,243,water,dragon,75,95,95,95,95,85
231,Phanpy,5,335,66,ground,None,90,60,60,40,40,40
232,Donphan,11,1200,175,ground,None,90,120,120,60,60,50
233,Porygon2,6,325,180,normal,None,85,80,90,105,95,60
234,Stantler,14,712,163,normal,None,73,95,62,85,65,85
235,Smeargle,12,580,88,normal,None,55,20,35,20,45,75
236,Tyrogue,7,210,42,fighting,None,35,35,35,35,35,35
237,Hitmontop,14,480,159,fighting,None,50,95,95,35,110,70
238,Smoochum,4,60,61,ice,psychic,45,30,15,85,65,65
239,Elekid,6,235,72,electric,None,45,63,37,65,55,95
240,Magby,7,214,73,fire,None,45,75,37,70,55,83
241,Miltank,12,755,172,normal,None,95,80,105,40,70,100
242,Blissey,15,468,608,normal,None,255,10,10,75,135,55
243,Raikou,19,1780,261,electric,None,90,85,75,115,100,115
244,Entei,21,1980,261,fire,None,115,115,85,90,75,100
245,Suicune,20,1870,261,water,None,100,75,115,90,115,85
246,Larvitar,6,720,60,rock,ground,50,64,50,45,50,41
247,Pupitar,12,1520,144,rock,ground,70,84,70,65,70,51
248,Tyranitar,20,2020,270,rock,dark,100,134,110,95,100,61
249,Lugia,52,2160,306,psychic,flying,106,90,130,90,154,110
250,Ho-oh,38,1990,306,fire,flying,106,130,90,110,154,90
